COMUNE     LIVELLO    ESITO    TEMPO     NOTE
033037     K6C        ok       5s        tier 0 su comune
037017     K6C        ok       7s        tier 0 su comune
036036     K6C        ok       6s        tier 0 su comune
036021     K6C        ok       6s        tier 0 su comune
040005     K6C        ok       9s        tier 0 su comune
037025     K6C        ok       7s        tier 0 su comune
037044     K6C        ok       6s        tier 0 su comune
036034     K6C        ok       6s        tier 0 su comune
035023     K6C        ok       7s        tier 0 su comune
040032     K6C        ok       9s        tier 0 su comune
038014     K6C        ok       6s        tier 0 su comune
036039     K6C        ok       6s        tier 0 su comune
037041     K6C        ok       6s        tier 0 su comune
035038     K6C        ok       6s        tier 0 su comune
033007     K6C        ok       9s        tier 0 su comune
034031     K6C        ok       6s        tier 0 su comune
035034     K6C        ok       6s        tier 0 su comune
034017     K6C        ok       6s        tier 0 su comune
034033     K6C        ok       6s        tier 0 su comune
037005     K6C        ok       6s        tier 0 su comune
039015     K6C        ok       9s        tier 0 su comune
035022     K6C        ok       6s        tier 0 su comune
037028     K6C        ok       6s        tier 0 su comune
099016     K6C        ok       6s        tier 0 su comune
033023     K6C        ok       6s        tier 0 su comune
038017     K6C        ok       9s        tier 0 su comune
033040     K6C        ok       6s        tier 0 su comune
040001     K6C        ok       6s        tier 0 su comune
035006     K6C        ok       6s        tier 0 su comune
035009     K6C        ok       6s        tier 0 su comune
034016     K6C        ok       9s        tier 0 su comune
037022     K6C        ok       6s        tier 0 su comune
035005     K6C        ok       6s        tier 0 su comune
033014     K6C        ok       6s        tier 0 su comune
035010     K6C        ok       6s        tier 0 su comune
036020     K6C        ok       6s        tier 0 su comune
033027     K6C        ok       9s        tier 0 su comune
034019     K6C        ok       6s        tier 0 su comune
099028     K6C        ok       6s        tier 0 su comune
037027     K6C        ok       6s        tier 0 su comune
036047     K6C        ok       6s        tier 0 su comune
033010     K6C        ok       8s        tier 0 su comune
034036     K6C        ok       6s        tier 0 su comune
033002     K6C        ok       6s        tier 0 su comune
033018     K6C        ok       6s        tier 0 su comune
033012     K6C        ok       6s        tier 0 su comune
033036     K6C        ok       5s        tier 0 su comune
038011     K6C        ok       8s        tier 0 su comune
035013     K6C        ok       6s        tier 0 su comune
037034     K6C        ok       6s        tier 0 su comune
