n,variabile,descrizione
96,VISRI6,rinuncia a visita specialistica ultimi 12 mesi: doveva accudire figli o altre persone
97,VISRI7,rinuncia a visita specialistica ultimi 12 mesi: altro
98,ANSANG12,negli ultimi 12 mesi si ï¿½ sottoposto a esami del sangue?
99,ACCER12,negli ultimi 12 mesi si ï¿½ sottoposto a esami specialistici?
100,ASPESA,spesa per ultimo esame specialistico (ultimi 12 mesi)
101,ACCPRE,l'ultimo esame specialistico (ultimi 12 mesi) le ï¿½ stato prescritto da un medico?
102,ACCRI1,rinuncia a accertamento specialistico ultimi 12 mesi
103,ACCRI2,"rinuncia a accertamento specialistico ultimi 12 mesi: non poteva pagarlo, costava troppo"
104,ACCRI3,rinuncia a accertamento specialistico ultimi 12 mesi: lista d'attesa lunga
105,ACCRI4,rinuncia a accertamento specialistico ultimi 12 mesi: scomoditï¿½
106,ACCRI5,rinuncia a accertamento specialistico ultimi 12 mesi: non poteva assentarsi dal lavoro
107,ACCRI6,rinuncia a accertamento specialistico ultimi 12 mesi: doveva accudire figli o altre persone
108,ACCRI7,rinuncia a accertamento specialistico ultimi 12 mesi: altro
109,ASAINF,"Ha da solo o insieme ad altri componenti della famiglia, un'assicurazione sulla salute o sugli"
110,ASVITA,"Ha da solo o insieme ad altri componenti della famiglia, un'assicurazione sulla vita o per pens"
111,MINCDO,Incidente domestico subito negli ultimi 3 mesi
112,MNINCDM,ricostruita Incidente domestico subito negli ultimi 3 mesi: quante volte
113,SPOCON,Nel suo tempo libero pratica con carattere di continuitï¿½ uno o piï¿½ sport?
114,SPOSAL,Nel suo tempo libero pratica saltuariamente uno o piï¿½ sport?
115,ATTFIS,Le capita di svolgere nel tempo libero qualche attivitï¿½ fisica?
116,FREQSPO,Frequenza nell'anno delle attivitï¿½ sportive praticate
117,ORESETSP,Ore di attivitï¿½ sportiva praticate nell'ultima settimana
118,SPPAG,Negli ultimi 12 mesi ha fatto sport in luoghi a pagamento?
119,SPRIV,Negli ultimi 12 mesi ha frequentato lezioni private o corsi di sport a spese sue o della famigl
120,RETTA,Paga una retta annua o periodica per un circolo o club sportivo?
121,AMICI,Con che frequenza si vede con amici nel tempo libero?
122,PARENT,"Ha altri parenti su cui poter contare (oltre a genitori, figli, fratelli e sorelle, nonni e nip"
123,AMICI2,Ha amici su cui poter contare
124,VICINI,Ha vicini su cui poter contare
125,VISRI8,rinuncia a visita specialistica ultimi 12 mesi: a causa del Covid19
126,ACCRI8,rinuncia a accertamento specialistico ultimi 12 mesi: a causa del Covid19
127,CPESO,Frequenza con cui usa controllare il suo peso
128,FARM,Negli ultimi due giorni ha fatto uso di farmaci?
129,PASTO,Qual ï¿½ il suo pasto principale?
130,COLAZ,Ha l'abitudine di fare la prima colazione? (se la fa piï¿½ di una volta consideri solo la prima
131,LPRAN,Dove pranza abitualmente nei giorni non festivi? (di scuola o di lavoro)
132,MENSA,Costo mensa aziendale
133,PANPAS,"Frequenza consumo: pane, pasta, riso"
134,SALUMI,Frequenza consumo: salumi
135,POLLO,"Frequenza consumo: carne di pollo, tacchino, coniglio, vitello"
136,COV,Frequenza consumo: carni ovine
137,CBOV,Frequenza consumo: carni bovine
138,CMAIAL,Frequenza consumo: carni di maiale (escluso salumi)
139,LATTE,Frequenza consumo: latte
140,FORM,"Frequenza consumo: formaggi, latticini"
141,UOVA,Frequenza consumo: uova
142,PESCE,Frequenza consumo: pesce
143,VERD,"Frequenza consumo: verdure in foglia cotte e crude (spinaci, insalate, cicoria, cavolo, broccol"
144,POMOD,"Frequenza consumo: pomodori (escluse conserve), melanzane, peperoni, finocchi, zucchine, carcio"
145,FRUTTA,Frequenza consumo: frutta
146,PZVERD,1 porzione=1 piatto medio Numero di porzioni di insalata oppure ortaggi e/o verdura
147,PZFRUTTA,1 porzione=1 mela o 1 arancia o 2 mandarini Numero di porzioni di frutta
148,LEGUMI,Frequenza consumo: legumi secchi o in scatola
149,PATATE,Frequenza consumo: patate
150,SNACK,"Frequenza consumo: snack salati (patatine, pop corn, salatini, olive)"
151,DOLCI,"Frequenza consumo: dolci (torte farcite, merendine, gelati, ecc)"
152,BEVEG,"frequenza consumo bevande vegetali a base di soia, avena, riso, mandorle, miglio"
153,CGRAS,Quale dei seguenti grassi usa piï¿½ frequentemente per la cottura dei cibi?
154,FGRAS,Quale dei seguenti grassi usa piï¿½ frequentemente per il condimento a crudo dei cibi ( insalat
155,QTSALE,Fa attenzione alla quantitï¿½ di sale e/o al consumo di cibi salati?
156,IODIO,Usa sale arricchito con iodio
157,ACMIN,Quantitï¿½ consumata abitualmente di acqua minerale
158,BGAS,Quantitï¿½ consumata abitualmente di bevande gassate (esclusa l'acqua minerale)
159,BIRRA,Quantitï¿½ consumata abitualmente di birra
160,VINO,Quantitï¿½ consumata abitualmente di vino
161,BICBIRRAM,1 bicchiere=1 boccale da 330ml - ricostruita Quanti bicchieri di birra consuma abitualmente al
162,BICVINOM,1 bicchiere=125ml - ricostruita Quanti bicchieri di vino consuma abitualmente al giorno?
163,BFPAS,Frequenza con cui capita di bere vino o alcolici fuori dai pasti
164,BICFUORIM,ricostruita Complessivamente in una settimana quanti bicchieri di vino o alcolici consuma abitu
165,ANAL,In quale quantitï¿½ consuma abitualmente: aperitivi analcolici
166,ALCOL,In quale quantitï¿½ consuma abitualmente: aperitivi alcolici
167,AMAR,In quale quantitï¿½ consuma abitualmente: amari
168,LIQUOR,In quale quantitï¿½ consuma abitualmente: superalcolici ( o liquori )
169,BICALTROM,"ricostruita Numero di bicchieri al giorno di aperitivi alcolici, amari o superalcolici"
170,ALCOL12,Consumo di bevande alcoliche negli ultimi 12 mesi
171,BICALC,Consumo di almeno 6 bicchieri di bevande alcoliche in un'unica occasione negli ultimi 12 mesi
172,NBICALCM,ricostruita Consumo di almeno 6 bicchieri di bevande alcoliche in un'unica occasione negli ulti
173,DOVCASP,Luogo di consumo di almeno 6 bicchieri di alcol: a casa propria
174,DOVAMPA,Luogo di consumo di almeno 6 bicchieri di alcol: a casa di parenti o amici
175,DOVRISTO,Luogo di consumo di almeno 6 bicchieri di alcol:al ristorante/trattoria/osteria/pizzeria
176,DOVPUB,Luogo di consumo di almeno 6 bicchieri di alcol:al bar/pub/birreria
177,DOVDISCO,Luogo di consumo di almeno 6 bicchieri di alcol: in discoteca
178,DOVSTR,Luogo di consumo di almeno 6 bicchieri di alcol: all'aperto/per strada
179,DOVALT,Luogo di consumo di almeno 6 bicchieri di alcol: altro luogo
180,FUMO,Attualmente fuma?
181,FRFUMO,Con quale frequenza fuma
182,TFUMO,Che cosa fuma prevalentemente
183,NSIGARM,ricostruita Quante sigarette fuma in media al giorno
184,ESIG,Uso della sigaretta elettronica
