cognome,frequenza
GENSINI,117
MAGGI,117
NATALI,117
D'AMICO,116
LOMBARDO,116
SACCHI,116
VITALE,116
STEFANINI,115
VILLANI,115
CINELLI,114
GALARDI,114
NUTINI,114
STEFANI,114
BARDAZZI,114
CARLI,114
FERRETTI,113
MICHELI,113
SCARPELLI,113
MARCUCCI,112
VALENTINI,112
BONAIUTI,112
COCCHI,111
CHERICI,111
COLZI,111
PACE,111
ORLANDO,111
SILVESTRI,111
COZZI,110
CENNI,110
COLLINI,110
MARCONI,110
BALLONI,110
CALONACI,110
HOXHA,109
MANZINI,109
GENTILE,109
GIOVANNETTI,109
VALENTI,109
SECCI,109
GIANNONI,108
MAGRINI,108
MEINI,108
MAZZEI,108
SIMONI,108
NUCCI,107
NANNELLI,107
SIMONETTI,107
ZINI,107
BOTTAI,107
BASILE,107
CATALANO,107
NESTI,106
MORONI,106
PROSPERI,106
FIBBI,105
LANINI,105
GELLI,105
PEZZATI,105
PUCCINI,105
PIERACCINI,105
TESI,105
ROMEO,105
BECAGLI,105
BURCHI,105
FONTANELLI,104
LELLI,104
SOMIGLI,104
RIGHINI,104
CAMMILLI,104
CAMPOLMI,104
CENCETTI,103
PARISI,103
PIERONI,103
MUSTAFA,103
CALDINI,103
BANI,103
BRANDI,103
CIANCHI,102
FALSINI,102
RIGACCI,102
RIDOLFI,102
SACCARDI,102
FRILLI,101
GUERRA,101
GIOVANNELLI,101
GORETTI,101
PANERAI,101
ROMANI,101
CASATI,101
BENI,101
CHERUBINI,100
FIORE,100
DE ROSA,100
GENTILI,100
GUERRI,100
PIERALLI,100
PAGGETTI,100
ROSSETTI,100
FRANCESCHINI,99
FROSALI,99
PUGI,99
SALERNO,99
TINTI,99
ZAGLI,99
FAGGI,98
FEI,98
COLI,98
PACI,98
TOFANI,98
LAPI,97
PIERATTINI,97
POZZI,97
MAZZI,97
ALBERTI,97
CALAMANDREI,97
BERNINI,97
CARRAI,97
DI STEFANO,96
CHENG,96
CHIARELLI,96
GIACOMELLI,96
MATTEUCCI,96
SACCHETTI,96
BIANCALANI,96
CARBONE,96
BACHERINI,96
BENINI,96
FRANCO,95
